[2017-09-19 10:31:36,443: WARNING/ForkPoolWorker-4] MAKING NEW REQUEST: https://livecache.sportresult.com/node/db/FIBASTATS_PROD/12105_COMPDETAILS_BKM400405_JSON.json?s=534&t=0
[2017-09-19 10:31:36,555: INFO/ForkPoolWorker-4] Task main.tasks.add_player[39c3db6a-9f72-4bf6-b175-f7523dad2e1b] succeeded in 0.026467758000762842s: True
[2017-09-19 10:31:36,565: INFO/ForkPoolWorker-4] Task main.tasks.add_player[13de209b-fe47-443c-a866-9893d5b47089] succeeded in 0.010154083999623253s: True
[2017-09-19 10:31:36,577: INFO/ForkPoolWorker-4] Task main.tasks.add_player[fdbab8f0-a6c5-4a9b-b695-28e68ffe4845] succeeded in 0.0106442779997451s: True
[2017-09-19 10:31:36,588: INFO/ForkPoolWorker-4] Task main.tasks.add_player[36218f44-3e54-4331-a9da-07aac7cd05e0] succeeded in 0.0104136740001195s: True
[2017-09-19 10:31:36,599: INFO/ForkPoolWorker-4] Task main.tasks.add_player[8e44fb4f-c571-4856-b384-3edfdad73405] succeeded in 0.01051850700059731s: True
[2017-09-19 10:31:36,610: INFO/ForkPoolWorker-4] Task main.tasks.add_player[64a6ff76-442d-450e-a37f-50417325248b] succeeded in 0.010468102000231738s: True
[2017-09-19 10:31:36,621: INFO/ForkPoolWorker-4] Task main.tasks.add_player[cf775fa7-4587-41ec-a104-9ef6201cec3c] succeeded in 0.010367208999923605s: True
[2017-09-19 10:31:36,632: INFO/ForkPoolWorker-4] Task main.tasks.add_player[2de68d11-2dec-4c46-85c8-abe39d21acac] succeeded in 0.010450855999806663s: True
[2017-09-19 10:31:36,643: INFO/ForkPoolWorker-4] Task main.tasks.add_player[7e81fd24-3763-49be-97f8-ac415786f61e] succeeded in 0.010448893999637221s: True
[2017-09-19 10:31:36,654: INFO/ForkPoolWorker-4] Task main.tasks.add_player[2de82a3a-9e4e-45e4-b0d7-e252dcb3d9c5] succeeded in 0.010487297000508988s: True
[2017-09-19 10:31:36,665: INFO/ForkPoolWorker-4] Task main.tasks.add_player[dd33ce64-5775-4fcd-bccc-0b39efe297fb] succeeded in 0.00996276299974852s: True
[2017-09-19 10:31:36,676: INFO/ForkPoolWorker-4] Task main.tasks.add_player[23e1c015-400c-4873-a542-ba879cd9aee6] succeeded in 0.01022586199997022s: True
[2017-09-19 10:31:36,687: INFO/ForkPoolWorker-4] Task main.tasks.add_player[56749f13-5c3e-4b49-9638-a97ecaef6b18] succeeded in 0.010429422999550297s: True
[2017-09-19 10:31:36,698: INFO/ForkPoolWorker-4] Task main.tasks.add_player[216f1bcb-5710-4fb5-af82-6b8660cf9fcd] succeeded in 0.010204747999523534s: True
[2017-09-19 10:31:36,709: INFO/ForkPoolWorker-4] Task main.tasks.add_player[df386a38-c635-46ff-9622-84c003381458] succeeded in 0.010371955000664457s: True
[2017-09-19 10:31:36,721: INFO/ForkPoolWorker-4] Task main.tasks.add_player[56d530f1-1473-4087-949b-cc28e89c7c24] succeeded in 0.010435334999783663s: True
